t,x,y,z,w
1735187280.960151,1.3950903406808708e-09,-3.899127253443268e-08,-4.3762912094589244e-09,0.9999999999999992
1735187280.971383,-3.8359180291020485e-09,-1.2401675539958108e-08,-9.060920773476979e-09,0.9999999999999998
1735187280.982584,-1.4195210330478951e-09,4.6614675338532404e-08,8.499969150003076e-10,0.9999999999999989
1735187280.993534,4.363620249125e-09,3.9075325e-12,2.525013175e-09,1.0
1735187281.004753,1.7799865970973853e-08,-2.653361817405553e-08,-6.38353674478966e-09,0.9999999999999994
1735187281.015738,5.336790082901238e-10,-1.0160169479978814e-08,1.7994047000744126e-08,0.9999999999999998
1735187281.0271358,2.6105566158306126e-09,-3.069379893815893e-08,1.1606260638344328e-08,0.9999999999999994
1735187281.0378752,-1.2939485646974265e-08,-3.979744198987205e-08,2.9210603460530138e-08,0.9999999999999987
1735187281.049449,1.718540189039418e-10,5.20998907309879e-08,2.4850622983568488e-08,0.9999999999999983
1735187281.060847,2.0085253493605977e-10,1.7218750208593725e-08,2.2779788791515832e-08,0.9999999999999996
