t,x,y,z
1735187284.271188,-0.022862874,-7.334666e-05,-0.0005393101
1735187284.282302,-0.02286333,-7.325772e-05,-0.00053957873
1735187284.2933822,-0.022873266,-7.3842355e-05,-0.00054003415
1735187284.304446,-0.022894295,-7.507723e-05,-0.00054048555
1735187284.3168988,-0.022911169,-7.3859e-05,-0.00054127036
1735187284.3269482,-0.022932302,-7.180136e-05,-0.00054186885
1735187284.337791,-0.022957336,-6.87124e-05,-0.00054252974
1735187284.349084,-0.022974212,-6.646145e-05,-0.00054198137
1735187284.360097,-0.022989772,-6.4541404e-05,-0.00054100924
1735187284.371138,-0.023003604,-6.2539526e-05,-0.0005394541
1735187284.382327,-0.022991566,-5.98178e-05,-0.0005388528
1735187284.393509,-0.022966836,-5.734632e-05,-0.00053795375
1735187284.4044352,-0.022928959,-5.4816755e-05,-0.0005370314
1735187284.4158978,-0.02291496,-5.5260567e-05,-0.0005371796
1735187284.42705,-0.022904329,-5.637348e-05,-0.0005365576
1735187284.437768,-0.022898084,-5.8665573e-05,-0.0005362445
1735187284.449067,-0.02289804,-5.8959704e-05,-0.00053644803
1735187284.460238,-0.022893062,-6.0142884e-05,-0.0005357907
1735187284.471119,-0.022891007,-6.141304e-05,-0.00053507526
1735187284.482277,-0.022891574,-6.330696e-05,-0.0005345997
1735187284.4933848,-0.022885656,-6.268361e-05,-0.0005342447
1735187284.504493,-0.022877853,-6.1006867e-05,-0.0005340339
1735187284.515833,-0.02286869,-5.8648176e-05,-0.00053424627
1735187284.5266728,-0.022874862,-5.752081e-05,-0.00053430337
1735187284.537955,-0.022887826,-5.6668825e-05,-0.0005344787
1735187284.548983,-0.022907153,-5.5982557e-05,-0.00053516903
1735187284.560166,-0.022917558,-5.7253346e-05,-0.00053485966
1735187284.571104,-0.022926865,-5.9543367e-05,-0.00053442427
1735187284.582413,-0.02293487,-6.258021e-05,-0.0005335299
1735187284.5936,-0.022937018,-6.336544e-05,-0.0005335278
1735187284.604768,-0.022935612,-6.344874e-05,-0.0005336736
1735187284.6160622,-0.022930855,-6.271433e-05,-0.0005333699
1735187284.626998,-0.022930423,-6.4379245e-05,-0.00053388067
1735187284.637898,-0.022930423,-6.676604e-05,-0.0005345903
1735187284.6492128,-0.02293191,-6.959168e-05,-0.00053571974
1735187284.660345,-0.022957515,-7.060694e-05,-0.0005362794
1735187284.671267,-0.022995403,-7.0805196e-05,-0.00053701753
1735187284.682451,-0.023044437,-7.024745e-05,-0.0005378735
1735187284.693637,-0.02306544,-7.0740236e-05,-0.0005383656
1735187284.704639,-0.02307836,-7.134816e-05,-0.0005387678
1735187284.715723,-0.02308346,-7.196341e-05,-0.0005390978
1735187284.726722,-0.023086522,-7.1337156e-05,-0.0005390249
1735187284.73779,-0.023084534,-7.014518e-05,-0.0005387726
1735187284.7489672,-0.023077771,-6.846496e-05,-0.0005377311
1735187284.760171,-0.023069214,-6.731693e-05,-0.0005375433
1735187284.771098,-0.023057338,-6.605807e-05,-0.0005372828
1735187284.782364,-0.023042591,-6.4950786e-05,-0.0005355926
1735187284.7933822,-0.023034815,-6.55987e-05,-0.0005360001
1735187284.804421,-0.023028983,-6.735965e-05,-0.000536419
1735187284.815834,-0.023024857,-7.068564e-05,-0.000536471
1735187284.826706,-0.023013562,-7.289753e-05,-0.0005362834
1735187284.837772,-0.022999637,-7.564726e-05,-0.0005357301
1735187284.8490071,-0.022982718,-7.833263e-05,-0.0005350778
1735187284.860093,-0.022958457,-7.7354955e-05,-0.0005349544
1735187284.87111,-0.022929018,-7.445e-05,-0.00053511653
1735187284.882265,-0.022895211,-6.9108326e-05,-0.0005377556
1735187284.8933148,-0.022882335,-6.740966e-05,-0.000536557
1735187284.904309,-0.022877336,-6.599503e-05,-0.00053534587
1735187284.915505,-0.022879796,-6.4364634e-05,-0.00053534476
1735187284.9265609,-0.022867024,-6.519852e-05,-0.0005342422
1735187284.937687,-0.022850413,-6.7082714e-05,-0.0005333238
