id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd,error_x,error_y,error_z,affine_matrix
34,530,53015,30150,1505,[35 21  5],[  6  70 -40],[31 41 -5],[21 -9 25],-1.0658141036401503e-14,-1.5987211554602254e-14,-7.815970093361102e-14,"[[1.0000000000000002, -2.03305110776695e-15, 5.789534002273917e-16, -1.6106225313877595e-14], [2.0619952956126724e-15, 1.0000000000000004, -1.664594447192387e-15, -2.6440015900380962e-14], [-5.828670879282072e-16, 1.3322676295501878e-15, 1.0, -7.332444313152198e-14], [0.0, 0.0, 0.0, 1.0]]"
35,530,53020,30200,2005,[ 35  40 -40],[ 25  20 -35],[ 50  10 -55],[ 40 -40 -35],7.815970093361102e-14,-1.7763568394002505e-15,-3.552713678800501e-15,"[[1.0, 4.3331687442069544e-16, 7.496992814233212e-16, 6.501612911332574e-14], [-4.333168744206951e-16, 0.9999999999999999, -5.099381481018066e-16, 1.4585807873343227e-14], [-7.496992814233215e-16, 4.440892098500626e-16, 1.0, 7.165967140024672e-15], [0.0, 0.0, 0.0, 1.0]]"
36,530,53025,30250,2505,[35 22 15],[  7  70 -30],[32 42 -5],[22 -8  5],-2.1316282072803006e-14,-2.930988785010413e-14,-1.0658141036401503e-14,"[[1.0, 4.291939505153074e-18, -2.317305254332675e-15, 1.3684487169201701e-14], [-4.29193950515551e-18, 0.9999999999999998, -7.821053636221223e-16, -1.6037781030329255e-14], [2.3173052543326756e-15, 1.0547118733938987e-15, 0.9999999999999999, -5.221257782656408e-14], [0.0, 0.0, 0.0, 1.0]]"
37,530,53035,30350,3505,[35 23 25],[  8  70 -20],[33 43 -5],[ 23  -7 -15],1.4210854715202004e-14,-1.7763568394002505e-14,8.704148513061227e-14,"[[1.0, -4.565171508344412e-17, 5.429157324744461e-16, 6.1826025824888335e-15], [4.5651715083444183e-17, 1.0, -2.2769404687259695e-16, -1.482083147428074e-14], [-5.429157324744461e-16, 1.6653345369377348e-16, 1.0, 9.550626084994423e-14], [0.0, 0.0, 0.0, 1.0]]"
38,530,53040,30400,4005,[ 35  60 -20],[ 45  20 -15],[ 70  30 -55],[ 60 -20 -75],2.4868995751603507e-14,-2.042810365310288e-14,-3.907985046680551e-14,"[[1.0, -9.512502414908745e-16, -9.283810319334992e-16, 4.2416893161586237e-14], [9.512502414908737e-16, 1.0000000000000002, -6.716241064079613e-16, -2.6911228441156182e-14], [9.283810319334998e-16, 7.771561172376096e-16, 1.0, -5.787314602991954e-14], [0.0, 0.0, 0.0, 1.0]]"
39,530,53045,30450,4505,[35 24 35],[  9  70 -10],[34 44 -5],[ 24  -6 -35],3.197442310920451e-14,1.3322676295501878e-14,3.197442310920451e-14,"[[1.0, -8.952773106612202e-17, 4.45901747032706e-16, 2.4404647917870358e-14], [8.952773106612144e-17, 0.9999999999999999, 1.200003344674236e-15, -6.247454923713405e-15], [-4.459017470327062e-16, -1.27675647831893e-15, 0.9999999999999999, 4.52918059705558e-14], [0.0, 0.0, 0.0, 1.0]]"
40,530,53050,30500,5005,[ 35  70 -10],[55 20 -5],[ 80  40 -55],[ 70 -10 -95],-1.4210854715202004e-14,-8.881784197001252e-15,-2.4868995751603507e-14,"[[1.0, -1.1820149186262734e-16, -5.473995288421939e-16, -7.074080021644921e-15], [1.182014918626273e-16, 0.9999999999999998, -4.679749734263711e-16, -2.9457935308163387e-15], [5.473995288421941e-16, 1.1102230246251565e-16, 0.9999999999999999, -3.308786608037312e-14], [0.0, 0.0, 0.0, 1.0]]"
41,535,53510,35100,1005,[ 40  35 -60],[ 15  25 -55],[ 45   0 -65],[ 35 -60 -15],1.1191048088221578e-11,9.729994587814872e-13,4.11404244005098e-12,"[[1.0, 1.413612301567338e-13, -5.0624905102285374e-14, 1.179779593703641e-11], [-1.4138712108979128e-13, 0.9999999999999999, -5.659890766313459e-14, 4.910521575652077e-12], [5.0459636469213365e-14, 5.6295246242399344e-14, 1.0000000000000002, 2.9496160440512477e-12], [0.0, 0.0, 0.0, 1.0]]"
42,535,53515,35150,1505,[40 26 -5],[  6  75 -50],[ 36  41 -15],[ 26 -19  25],-1.0658141036401503e-13,1.4077627952246985e-12,-1.1048939541069558e-12,"[[1.0, -2.0930350508352758e-14, 1.5933593456543247e-14, -3.553202519286101e-13], [2.1066445261904018e-14, 1.0000000000000007, 4.7405753471940806e-14, 9.054257261881192e-14], [-1.5931700403370996e-14, -4.75175454539567e-14, 1.0, -6.659952375734347e-13], [0.0, 0.0, 0.0, 1.0]]"
43,535,53520,35200,2005,[ 40  45 -50],[ 25  25 -45],[ 55  10 -65],[ 45 -50 -35],-9.947598300641403e-14,-1.6786572132332367e-13,-1.5276668818842154e-13,"[[0.9999999999999999, -3.923116986181339e-15, -3.648808147083107e-15, -1.7573158388156232e-14], [4.033433706640859e-15, 1.0000000000000002, -4.189693759283432e-16, -2.423721077511271e-13], [3.7192471324942744e-15, 4.440892098500626e-16, 1.0, -2.2819920950207923e-13], [0.0, 0.0, 0.0, 1.0]]"
