id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
113,01035,10355,3550,5010,[ 13  20 -15],[ 15  15 -55],[  8 -15 -10],[-12 -65  50]
114,01035,103515,35150,15010,[45 16 -5],[ 11  65 -45],[ 36  31 -10],[ 16 -19  30]
115,01035,103520,35200,20010,[ 45  35 -50],[ 30  15 -40],[ 55   0 -60],[ 35 -50 -30]
116,01035,103525,35250,25010,[45 17  5],[ 12  65 -35],[ 37  32 -10],[ 17 -18  10]
117,01035,103530,35300,30010,[ 45  45 -40],[ 40  15 -30],[ 65  10 -60],[ 45 -40 -50]
118,01035,103540,35400,40010,[ 45  55 -30],[ 50  15 -20],[ 75  20 -60],[ 55 -30 -70]
119,01035,103545,35450,45010,[45 19 25],[ 14  65 -15],[ 39  34 -10],[ 19 -16 -30]
120,01035,103550,35500,50010,[ 45  65 -20],[ 60  15 -10],[ 85  30 -60],[ 65 -20 -90]
121,01040,10405,4050,5010,[ 14  20 -25],[ 15  20 -65],[  9 -20 -20],[-11 -80  50]
122,01040,104015,40150,15010,[ 50  21 -15],[ 11  70 -55],[ 41  31 -20],[ 21 -29  30]
123,01040,104020,40200,20010,[ 50  40 -60],[ 30  20 -50],[ 60   0 -70],[ 40 -60 -30]
124,01040,104025,40250,25010,[50 22 -5],[ 12  70 -45],[ 42  32 -20],[ 22 -28  10]
125,01040,104030,40300,30010,[ 50  50 -50],[ 40  20 -40],[ 70  10 -70],[ 50 -50 -50]
126,01040,104035,40350,35010,[50 23  5],[ 13  70 -35],[ 43  33 -20],[ 23 -27 -10]
127,01040,104045,40450,45010,[50 24 15],[ 14  70 -25],[ 44  34 -20],[ 24 -26 -30]
128,01040,104050,40500,50010,[ 50  70 -30],[ 60  20 -20],[ 90  30 -70],[ 70 -30 -90]
129,01045,10455,4550,5010,[ 14  30 -35],[ 15  25 -75],[  9 -15 -30],[-11 -85  50]
130,01045,104515,45150,15010,[ 55  26 -25],[ 11  75 -65],[ 46  31 -30],[ 26 -39  30]
131,01045,104520,45200,20010,[ 55  45 -70],[ 30  25 -60],[ 65   0 -80],[ 45 -70 -30]
132,01045,104525,45250,25010,[ 55  27 -15],[ 12  75 -55],[ 47  32 -30],[ 27 -38  10]
133,01045,104530,45300,30010,[ 55  55 -60],[ 40  25 -50],[ 75  10 -80],[ 55 -60 -50]
134,01045,104535,45350,35010,[55 28 -5],[ 13  75 -45],[ 48  33 -30],[ 28 -37 -10]
135,01045,104540,45400,40010,[ 55  65 -50],[ 50  25 -40],[ 85  20 -80],[ 65 -50 -70]
136,01045,104550,45500,50010,[ 55  75 -40],[ 60  25 -30],[ 95  30 -80],[ 75 -40 -90]
137,01050,10505,5050,5010,[ 15  30 -45],[ 15  30 -85],[ 10 -20 -40],[ -10 -100   50]
138,01050,105015,50150,15010,[ 60  31 -35],[ 11  80 -75],[ 51  31 -40],[ 31 -49  30]
139,01050,105020,50200,20010,[ 60  50 -80],[ 30  30 -70],[ 70   0 -90],[ 50 -80 -30]
140,01050,105025,50250,25010,[ 60  32 -25],[ 12  80 -65],[ 52  32 -40],[ 32 -48  10]
141,01050,105030,50300,30010,[ 60  60 -70],[ 40  30 -60],[ 80  10 -90],[ 60 -70 -50]
142,01050,105035,50350,35010,[ 60  33 -15],[ 13  80 -55],[ 53  33 -40],[ 33 -47 -10]
143,01050,105040,50400,40010,[ 60  70 -60],[ 50  30 -50],[ 90  20 -90],[ 70 -60 -70]
144,01050,105045,50450,45010,[60 34 -5],[ 14  80 -45],[ 54  34 -40],[ 34 -46 -30]
145,0155,15510,5100,10015,[ 20 -15   0],[ 25 -25  15],[ 15 -20   5],[-15   0  -5]
146,0155,15520,5200,20015,[20 -5 10],[ 35 -25  25],[ 25 -10   5],[ -5  10 -25]
147,0155,15525,5250,25015,[ 20 -23  65],[17 25 30],[ 7 22 55],[-23  42  15]
